ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source
38,Southeast,Alabama,1945,Total land,32690,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
39,Delta States total,Delta States,1945,Total land,93006,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
40,Delta States,Mississippi,1945,Total land,30349,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
41,Delta States,Arkansas,1945,Total land,33744,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
42,Delta States,Louisiana,1945,Total land,28913,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
43,Southern Plains total,Southern Plains,1945,Total land,213073,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
44,Southern Plains,Oklahoma,1945,Total land,44341,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
45,Southern Plains,Texas,1945,Total land,168732,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
46,Mountain total,Mountain,1945,Total land,549014,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
47,Mountain,Montana,1945,Total land,93642,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
48,Mountain,Idaho,1945,Total land,52997,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
49,Mountain,Wyoming,1945,Total land,62404,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
50,Mountain,Colorado,1945,Total land,66539,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
51,Mountain,New Mexico,1945,Total land,77767,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
52,Mountain,Arizona,1945,Total land,72691,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
53,Mountain,Utah,1945,Total land,52701,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
54,Mountain,Nevada,1945,Total land,70273,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
55,Pacific total,Pacific,1945,Total land,204883,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
56,Pacific,Washington,1945,Total land,42865,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
57,Pacific,Oregon,1945,Total land,61664,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
58,Pacific,California,1945,Total land,100354,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
59,48 States,48 States,1945,Total land,1905362,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
60,AK and HI,Alaska,1945,Total land,365482,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
61,AK and HI,Hawaii,1945,Total land,4100,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
62,U.S. total,U.S. total,1945,Total land,2274944,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
63,Northeast total,Northeast,1949,Total land,112378,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
64,Northeast,Maine,1949,Total land,19866,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
65,Northeast,New Hampshire,1949,Total land,5771,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
66,Northeast,Vermont,1949,Total land,5938,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
67,Northeast,Massachusetts,1949,Total land,5035,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
68,Northeast,Rhode Island,1949,Total land,677,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
69,Northeast,Connecticut,1949,Total land,3135,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
70,Northeast,New York,1949,Total land,30684,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
71,Northeast,New Jersey,1949,Total land,4814,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
72,Northeast,Pennsylvania,1949,Total land,28829,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
73,Northeast,Delaware,1949,Total land,1266,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
74,Northeast,Maryland,1949,Total land,6324,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
75,Northeast,District of Columbia,1949,Total land,39,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
76,Lake States total,Lake States,1949,Total land,122711,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
77,Lake States,Michigan,1949,Total land,36494,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
78,Lake States,Wisconsin,1949,Total land,35011,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
79,Lake States,Minnesota,1949,Total land,51206,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
80,Corn Belt total,Corn Belt,1949,Total land,165383,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
81,Corn Belt,Ohio,1949,Total land,26240,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
82,Corn Belt,Indiana,1949,Total land,23171,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
83,Corn Belt,Illinois,1949,Total land,35798,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
84,Corn Belt,Iowa,1949,Total land,35869,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
85,Corn Belt,Missouri,1949,Total land,44305,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
86,Northern Plains total,Northern Plains,1949,Total land,195432,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
87,Northern Plains,North Dakota,1949,Total land,44836,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
88,Northern Plains,South Dakota,1949,Total land,48983,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
89,Northern Plains,Nebraska,1949,Total land,49064,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
90,Northern Plains,Kansas,1949,Total land,52549,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
91,Appalachian total,Appalachian,1949,Total land,124628,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
92,Appalachian,Virginia,1949,Total land,25532,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
93,Appalachian,West Virginia,1949,Total land,15411,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
94,Appalachian,North Carolina,1949,Total land,31422,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
95,Appalachian,Kentucky,1949,Total land,25513,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
96,Appalachian,Tennessee,1949,Total land,26750,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
97,Southeast total,Southeast,1949,Total land,124242,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
98,Southeast,South Carolina,1949,Total land,19395,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
99,Southeast,Georgia,1949,Total land,37429,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
100,Southeast,Florida,1949,Total land,34728,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
101,Southeast,Alabama,1949,Total land,32690,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
102,Delta States total,Delta States,1949,Total land,92855,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
103,Delta States,Mississippi,1949,Total land,30239,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
104,Delta States,Arkansas,1949,Total land,33712,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
105,Delta States,Louisiana,1949,Total land,28904,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
106,Southern Plains total,Southern Plains,1949,Total land,212828,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
107,Southern Plains,Oklahoma,1949,Total land,44180,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
108,Southern Plains,Texas,1949,Total land,168648,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
109,Mountain total,Mountain,1949,Total land,548669,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
110,Mountain,Montana,1949,Total land,93362,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
111,Mountain,Idaho,1949,Total land,52972,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
112,Mountain,Wyoming,1949,Total land,62404,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
113,Mountain,Colorado,1949,Total land,66510,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
114,Mountain,New Mexico,1949,Total land,77767,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
115,Mountain,Arizona,1949,Total land,72688,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
116,Mountain,Utah,1949,Total land,52701,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
117,Mountain,Nevada,1949,Total land,70265,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
118,Pacific total,Pacific,1949,Total land,204699,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
119,Pacific,Washington,1949,Total land,42743,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
120,Pacific,Oregon,1949,Total land,61642,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
121,Pacific,California,1949,Total land,100314,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
122,48 States,48 States,1949,Total land,1903825,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
123,AK and HI,Alaska,1949,Total land,365482,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
124,AK and HI,Hawaii,1949,Total land,4100,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
125,U.S. total,U.S. total,1949,Total land,2273407,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
126,Northeast total,Northeast,1954,Total land,112378,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
127,Northeast,Maine,1954,Total land,19866,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
128,Northeast,New Hampshire,1954,Total land,5771,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
129,Northeast,Vermont,1954,Total land,5938,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
130,Northeast,Massachusetts,1954,Total land,5035,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
131,Northeast,Rhode Island,1954,Total land,677,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
132,Northeast,Connecticut,1954,Total land,3135,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
133,Northeast,New York,1954,Total land,30684,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
134,Northeast,New Jersey,1954,Total land,4814,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
135,Northeast,Pennsylvania,1954,Total land,28829,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
136,Northeast,Delaware,1954,Total land,1266,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
137,Northeast,Maryland,1954,Total land,6324,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
138,Northeast,District of Columbia,1954,Total land,39,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
139,Lake States total,Lake States,1954,Total land,122711,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
140,Lake States,Michigan,1954,Total land,36494,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
141,Lake States,Wisconsin,1954,Total land,35011,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
142,Lake States,Minnesota,1954,Total land,51206,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
143,Corn Belt total,Corn Belt,1954,Total land,165383,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
144,Corn Belt,Ohio,1954,Total land,26240,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
145,Corn Belt,Indiana,1954,Total land,23171,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
146,Corn Belt,Illinois,1954,Total land,35798,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
147,Corn Belt,Iowa,1954,Total land,35869,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
148,Corn Belt,Missouri,1954,Total land,44305,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
149,Northern Plains total,Northern Plains,1954,Total land,195432,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
150,Northern Plains,North Dakota,1954,Total land,44836,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
151,Northern Plains,South Dakota,1954,Total land,48983,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
152,Northern Plains,Nebraska,1954,Total land,49064,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
153,Northern Plains,Kansas,1954,Total land,52549,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
154,Appalachian total,Appalachian,1954,Total land,124628,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
155,Appalachian,Virginia,1954,Total land,25532,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
156,Appalachian,West Virginia,1954,Total land,15411,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
157,Appalachian,North Carolina,1954,Total land,31422,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
158,Appalachian,Kentucky,1954,Total land,25513,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
159,Appalachian,Tennessee,1954,Total land,26750,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
160,Southeast total,Southeast,1954,Total land,124242,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
161,Southeast,South Carolina,1954,Total land,19395,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
162,Southeast,Georgia,1954,Total land,37429,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
163,Southeast,Florida,1954,Total land,34728,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
164,Southeast,Alabama,1954,Total land,32690,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
165,Delta States total,Delta States,1954,Total land,92855,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
166,Delta States,Mississippi,1954,Total land,30239,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
167,Delta States,Arkansas,1954,Total land,33712,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
168,Delta States,Louisiana,1954,Total land,28904,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
169,Southern Plains total,Southern Plains,1954,Total land,212828,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
170,Southern Plains,Oklahoma,1954,Total land,44180,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
171,Southern Plains,Texas,1954,Total land,168648,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
172,Mountain total,Mountain,1954,Total land,548669,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
173,Mountain,Montana,1954,Total land,93362,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
174,Mountain,Idaho,1954,Total land,52972,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
175,Mountain,Wyoming,1954,Total land,62404,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
176,Mountain,Colorado,1954,Total land,66510,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
177,Mountain,New Mexico,1954,Total land,77767,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
178,Mountain,Arizona,1954,Total land,72688,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
179,Mountain,Utah,1954,Total land,52701,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
180,Mountain,Nevada,1954,Total land,70265,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
181,Pacific total,Pacific,1954,Total land,204699,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
182,Pacific,Washington,1954,Total land,42743,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
183,Pacific,Oregon,1954,Total land,61642,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
184,Pacific,California,1954,Total land,100314,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
185,48 States,48 States,1954,Total land,1903825,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
186,AK and HI,Alaska,1954,Total land,365482,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
187,AK and HI,Hawaii,1954,Total land,4100,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
188,U.S. total,U.S. total,1954,Total land,2273407,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
189,Northeast total,Northeast,1959,Total land,112324,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
190,Northeast,Maine,1959,Total land,19848,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
191,Northeast,New Hampshire,1959,Total land,5769,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
192,Northeast,Vermont,1959,Total land,5937,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
193,Northeast,Massachusetts,1959,Total land,5035,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
194,Northeast,Rhode Island,1959,Total land,677,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
195,Northeast,Connecticut,1959,Total land,3135,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
196,Northeast,New York,1959,Total land,30681,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
197,Northeast,New Jersey,1959,Total land,4813,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
198,Northeast,Pennsylvania,1959,Total land,28805,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
199,Northeast,Delaware,1959,Total land,1266,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
200,Northeast,Maryland,1959,Total land,6319,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
201,Northeast,District of Columbia,1959,Total land,39,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
202,Lake States total,Lake States,1959,Total land,122709,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
203,Lake States,Michigan,1959,Total land,36492,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
204,Lake States,Wisconsin,1959,Total land,35011,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
205,Lake States,Minnesota,1959,Total land,51206,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
206,Corn Belt total,Corn Belt,1959,Total land,165284,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
207,Corn Belt,Ohio,1959,Total land,26222,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
208,Corn Belt,Indiana,1959,Total land,23158,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
209,Corn Belt,Illinois,1959,Total land,35795,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
210,Corn Belt,Iowa,1959,Total land,35861,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
211,Corn Belt,Missouri,1959,Total land,44248,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
212,Northern Plains total,Northern Plains,1959,Total land,194877,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
213,Northern Plains,North Dakota,1959,Total land,44452,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
214,Northern Plains,South Dakota,1959,Total land,48882,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
215,Northern Plains,Nebraska,1959,Total land,49032,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
216,Northern Plains,Kansas,1959,Total land,52511,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
217,Appalachian total,Appalachian,1959,Total land,124550,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
218,Appalachian,Virginia,1959,Total land,25496,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
219,Appalachian,West Virginia,1959,Total land,15411,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
220,Appalachian,North Carolina,1959,Total land,31403,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
221,Appalachian,Kentucky,1959,Total land,25512,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
222,Appalachian,Tennessee,1959,Total land,26728,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
223,Southeast total,Southeast,1959,Total land,124068,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
224,Southeast,South Carolina,1959,Total land,19374,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
225,Southeast,Georgia,1959,Total land,37295,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
226,Southeast,Florida,1959,Total land,34721,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
