ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source,Price per Acre (TND),Total Land (m²),Price (TND),Price per m² (TND),State_encoded,Land_use_encoded
12,Center,Kebili,1945,Total land,39.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,157827.54,195000.0,454.9028131449471,12,14
13,Center,Kasserine,1945,Total land,122718.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,496622565.48,613590000.0,452.3120861280371,22,14
14,Center,Bizerte,1945,Total land,36494.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,147686108.84,182470000.0,482.7514470513749,27,14
15,Center,Beja,1945,Total land,35018.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,141712943.48000002,175090000.0,456.93801767014605,61,14
16,South,Mahdia,1945,Total land,51206.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,207223513.16,256030000.0,463.7702953173197,28,14
17,Center,Nabeul,1945,Total land,165459.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,669589408.74,827295000.0,429.1799352024584,9,14
18,North,Manouba,1945,Total land,26318.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,106505261.48,131590000.0,456.9898859056904,43,14
19,Center,Siliana,1945,Total land,23171.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,93769793.06,115855000.0,456.39965742391774,18,14
20,North,Manouba,1945,Total land,35806.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,144901869.16,179030000.0,469.0363208676846,17,14
21,South,Sidi Bouzid,1945,Total land,35831.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,145003040.66,179155000.0,442.6523675843191,19,14
22,South,Sfax,1945,Total land,44333.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,179409444.38,221665000.0,486.403856494485,30,14
23,Center,Gafsa,1945,Total land,195428.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,790869756.08,977140000.0,477.76187464585496,42,14
24,North,Zaghouan,1945,Total land,44835.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,181440968.1,224175000.0,430.7805451374234,40,14
25,South,Kairouan,1945,Total land,48983.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198227343.38,244915000.0,434.3506628544753,50,14
26,South,Jendouba,1945,Total land,49058.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198530857.88,245290000.0,411.0942834421021,33,14
27,Center,Ben Arous,1945,Total land,52552.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,212670586.72,262760000.0,530.4297157831829,20,14
28,Center,Beja,1945,Total land,124929.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,505570172.94,624645000.0,451.04031181197166,3,14
29,North,Bizerte,1945,Total land,25535.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,103336570.1,127675000.0,485.2507631502138,58,14
30,North,Kasserine,1945,Total land,15418.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,62394487.48,77090000.0,456.6081948710169,60,14
31,North,Monastir,1945,Total land,31451.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,127277793.86,157255000.0,450.1814258827463,39,14
32,North,Ariana,1945,Total land,25670.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,103882896.2,128350000.0,459.5177794846405,21,14
33,South,Sfax,1945,Total land,26855.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,108678425.3,134275000.0,469.8881200277466,53,14
34,North,Nabeul,1945,Total land,124450.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,503631727.0,622250000.0,475.2446669075764,51,14
35,North,Kebili,1945,Total land,19580.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,79237518.8,97900000.0,494.2402927489367,49,14
36,South,Tataouine,1945,Total land,37452.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,151563000.72,187260000.0,487.9403903359081,14,14
37,Center,Nabeul,1945,Total land,34728.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,140539354.08,173640000.0,547.1132846377994,13,14
38,South,Monastir,1945,Total land,32690.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,132291853.4,163450000.0,430.1399689735433,1,14
39,Center,Medenine,1945,Total land,93006.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,376382261.16,465030000.0,449.0152157103808,11,14
40,North,Nabeul,1945,Total land,30349.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,122818154.14,151745000.0,467.9883258902644,29,14
41,Center,Nabeul,1945,Total land,33744.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,136557243.84,168720000.0,472.4417218342615,5,14
42,Center,Kef,1945,Total land,28913.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,117006863.18,144565000.0,455.4625113390077,23,14
43,South,Nabeul,1945,Total land,213073.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,862276600.78,1065365000.0,425.1943716539318,52,14
44,Center,Sidi Bouzid,1945,Total land,44341.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,179441819.26000002,221705000.0,470.17553826179415,44,14
45,North,Zaghouan,1945,Total land,168732.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,682834781.52,843660000.0,534.6328513496466,54,14
46,Center,Kairouan,1945,Total land,549014.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2221782796.04,2745070000.0,459.7587528660524,32,14
47,South,Beja,1945,Total land,93642.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,378956064.12,468210000.0,445.12567531899725,31,14
48,North,Nabeul,1945,Total land,52997.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,214471439.42,264985000.0,464.4504683715231,16,14
49,North,Monastir,1945,Total land,62404.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,252540251.44,312020000.0,481.208260316055,62,14
50,South,Nabeul,1945,Total land,66539.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,269274017.54,332695000.0,476.7101801827599,7,14
51,South,Beja,1945,Total land,77767.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,314712161.62,388835000.0,450.4240632015641,37,14
52,North,Jendouba,1945,Total land,72691.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,294170300.26,363455000.0,463.46609267063377,4,14
53,South,Tataouine,1945,Total land,52701.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,213273568.86,263505000.0,461.8914905088487,56,14
54,Center,Nabeul,1945,Total land,70273.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,284384992.78000003,351365000.0,473.2552234599441,34,14
55,Center,Tataouine,1945,Total land,204883.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,829132817.38,1024415000.0,463.6478262248468,46,14
56,Center,Tunis,1945,Total land,42865.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,173468653.9,214325000.0,427.2462480331373,59,14
57,South,Tozeur,1945,Total land,61664.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,249545575.04,308320000.0,457.3601811722484,45,14
58,North,Siliana,1945,Total land,100354.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,406118588.44,501770000.0,556.1221981127272,6,14
59,Center,Medenine,1945,Total land,1905362.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7710733263.320001,9526810000.0,468.1166238666965,0,14
60,North,Kairouan,1945,Total land,365482.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1479054486.52,1827410000.0,502.302254724732,2,14
61,South,Jendouba,1945,Total land,4100.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,16592126.0,20500000.0,468.0450025839685,15,14
62,South,Tozeur,1945,Total land,2274944.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,9206379875.84,11374720000.0,484.7279963362204,55,14
63,Center,Bizerte,1949,Total land,112378.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,454778033.08,618079000.0,584.8476483328416,41,14
64,North,Zaghouan,1949,Total land,19866.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,80394920.76,79464000.0,573.8975160296247,24,14
65,Center,Gafsa,1949,Total land,5771.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,23354429.06,28855000.0,508.84271088992966,35,14
66,North,Tunis,1949,Total land,5938.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,24030254.68,26721000.0,614.5392250275067,57,14
67,Center,Medenine,1949,Total land,5035.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,20375940.1,35245000.0,535.0713792337118,26,14
68,North,Sidi Bouzid,1949,Total land,677.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,2739724.22,5077500.0,549.1697001524344,48,14
69,Center,Zaghouan,1949,Total land,3135.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,12686906.1,21318000.0,558.8089721928364,8,14
70,North,Mahdia,1949,Total land,30684.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,124173852.24,306840000.0,668.5282655463681,38,14
71,South,Kebili,1949,Total land,4814.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,19481584.04,57768000.0,683.6067610813446,36,14
72,Center,Jendouba,1949,Total land,28829.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,116666926.94,187388500.0,567.6861044207054,47,14
73,North,Kebili,1949,Total land,1266.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5123324.76,6330000.0,521.0480927268188,10,14
74,South,Bizerte,1949,Total land,6324.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25592342.64,31620000.0,569.7357247844919,25,14
75,Center,Sfax,1949,Total land,39.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,157827.54,195000.0,583.3924200767336,12,14
76,Center,Jendouba,1949,Total land,122711.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,496594237.46,613555000.0,503.96691325105706,22,14
77,Center,Tozeur,1949,Total land,36494.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,147686108.84,182470000.0,506.8654528934271,27,14
78,South,Kebili,1949,Total land,35011.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,141684615.46,175055000.0,541.0754443644241,61,14
79,South,Ariana,1949,Total land,51206.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,207223513.16,256030000.0,579.2409451674935,28,14
80,North,Jendouba,1949,Total land,165383.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,669281847.38,826915000.0,572.5855260190261,9,14
81,Center,Tunis,1949,Total land,26240.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,106189606.4,131200000.0,564.075420085621,43,14
82,North,Zaghouan,1949,Total land,23171.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,93769793.06,115855000.0,589.6099884450452,18,14
83,North,Kasserine,1949,Total land,35798.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,144869494.28,178990000.0,561.714121097232,17,14
84,North,Zaghouan,1949,Total land,35869.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,145156821.34,179345000.0,492.0695075601078,19,14
85,North,Gafsa,1949,Total land,44305.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,179296132.3,221525000.0,616.7478856429359,30,14
86,South,Sidi Bouzid,1949,Total land,195432.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,790885943.52,977160000.0,553.6363428395665,42,14
87,North,Ben Arous,1949,Total land,44836.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,181445014.96,224180000.0,542.6799439221134,40,14
88,South,Sidi Bouzid,1949,Total land,48983.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198227343.38,244915000.0,510.20918765147,50,14
89,South,Zaghouan,1949,Total land,49064.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198555139.04,245320000.0,524.3170187142418,33,14
90,South,Medenine,1949,Total land,52549.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,212658446.14,262745000.0,494.9512238383555,20,14
91,South,Gabes,1949,Total land,124628.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,504352068.08,623140000.0,550.3631225508198,3,14
92,North,Zaghouan,1949,Total land,25532.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,103324429.52,127660000.0,557.4555479612542,58,14
93,North,Sfax,1949,Total land,15411.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,62366159.46,77055000.0,582.890558689275,60,14
94,Center,Kebili,1949,Total land,31422.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,127160434.92,157110000.0,523.0586287669602,39,14
95,Center,Sousse,1949,Total land,25513.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,103247539.18,127565000.0,578.6767176684949,21,14
96,Center,Tunis,1949,Total land,26750.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,108253505.0,133750000.0,596.7155509206794,53,14
97,South,Tataouine,1949,Total land,124242.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,502789980.12,621210000.0,553.1629940872347,51,14
98,North,Siliana,1949,Total land,19395.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,78488849.7,96975000.0,540.5648560226734,49,14
99,Center,Tataouine,1949,Total land,37429.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,151469922.94,187145000.0,556.0485293656434,14,14
100,South,Beja,1949,Total land,34728.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,140539354.08,173640000.0,667.6609198186758,13,14
101,South,Sousse,1949,Total land,32690.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,132291853.4,163450000.0,557.1491533232739,1,14
102,South,Tozeur,1949,Total land,92855.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,375771185.3,464275000.0,558.8717745250033,11,14
103,North,Zaghouan,1949,Total land,30239.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,122372999.54,151195000.0,542.1569504389573,29,14
104,Center,Zaghouan,1949,Total land,33712.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,136427744.32,168560000.0,538.4688154484384,5,14
105,South,Gabes,1949,Total land,28904.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,116970441.44,144520000.0,592.6544344891315,23,14
106,South,Mahdia,1949,Total land,212828.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,861285120.08,1064140000.0,564.2054278281284,52,14
107,North,Kairouan,1949,Total land,44180.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,178790274.8,220900000.0,544.6439153171352,44,14
108,Center,Monastir,1949,Total land,168648.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,682494845.28,843240000.0,669.7575331503831,54,14
109,South,Beja,1949,Total land,548669.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2220386629.34,2743345000.0,512.1289568130652,32,14
110,Center,Sousse,1949,Total land,93362.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,377822943.32,466810000.0,557.066572387597,31,14
111,Center,Jendouba,1949,Total land,52972.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,214370267.92,264860000.0,591.2845405422909,16,14
112,Center,Kasserine,1949,Total land,62404.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,252540251.44,312020000.0,561.1348041030642,62,14
113,South,Mahdia,1949,Total land,66510.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,269156658.6,332550000.0,569.0725129978928,7,14
114,Center,Tataouine,1949,Total land,77767.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,314712161.62,388835000.0,543.3412396086825,37,14
115,Center,Medenine,1949,Total land,72688.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,294158159.68,363440000.0,569.5589223774332,4,14
116,South,Sfax,1949,Total land,52701.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,213273568.86,263505000.0,565.9683937190746,56,14
117,North,Siliana,1949,Total land,70265.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,284352617.90000004,351325000.0,580.1972142992167,34,14
118,North,Zaghouan,1949,Total land,204699.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,828388195.14,1023495000.0,562.0906872162224,46,14
119,South,Tozeur,1949,Total land,42743.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,172974936.98000002,213715000.0,550.2909090401474,59,14
120,South,Manouba,1949,Total land,61642.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,249456544.12,308210000.0,466.6711241669416,45,14
121,North,Gafsa,1949,Total land,100314.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,405956714.04,501570000.0,722.5832123244726,6,14
122,South,Kef,1949,Total land,1903825.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7704513239.5,9519125000.0,525.910919551504,0,14
123,Center,Tunis,1949,Total land,365482.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1479054486.52,1827410000.0,614.2451983119836,2,14
124,Center,Kef,1949,Total land,4100.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,16592126.0,20500000.0,581.6820432149209,15,14
125,Center,Jendouba,1949,Total land,2273407.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,9200159852.02,11367035000.0,579.9332060980229,55,14
126,Center,Mahdia,1954,Total land,112378.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,454778033.08,618079000.0,677.806585048589,41,14
127,Center,Beja,1954,Total land,19866.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,80394920.76,79464000.0,660.2622137171912,24,14
128,North,Bizerte,1954,Total land,5771.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,23354429.06,28855000.0,705.0613866819768,35,14
129,North,Ariana,1954,Total land,5938.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,24030254.68,26721000.0,665.8448068883611,57,14
130,South,Sousse,1954,Total land,5035.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,20375940.1,35245000.0,666.7579532940798,26,14
131,South,Kasserine,1954,Total land,677.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,2739724.22,5077500.0,682.3978216334366,48,14
132,North,Siliana,1954,Total land,3135.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,12686906.1,21318000.0,661.8053736747665,8,14
133,Center,Mahdia,1954,Total land,30684.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,124173852.24,306840000.0,860.755627405584,38,14
134,North,Monastir,1954,Total land,4814.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,19481584.04,57768000.0,871.3605477543854,36,14
135,North,Jendouba,1954,Total land,28829.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,116666926.94,187388500.0,660.4714027706971,47,14
136,Center,Beja,1954,Total land,1266.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5123324.76,6330000.0,657.0292440674083,10,14
137,Center,Beja,1954,Total land,6324.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25592342.64,31620000.0,650.8628050252944,25,14
138,North,Kef,1954,Total land,39.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,157827.54,195000.0,672.7501292223358,12,14
139,Center,Tunis,1954,Total land,122711.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,496594237.46,613555000.0,628.1124842645745,22,14
140,South,Gabes,1954,Total land,36494.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,147686108.84,182470000.0,670.4576863523152,27,14
141,South,Ben Arous,1954,Total land,35011.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,141684615.46,175055000.0,693.6414473039275,61,14
142,North,Sidi Bouzid,1954,Total land,51206.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,207223513.16,256030000.0,698.7244347057546,28,14
143,Center,Manouba,1954,Total land,165383.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,669281847.38,826915000.0,706.7024769347095,9,14
144,South,Tozeur,1954,Total land,26240.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,106189606.4,131200000.0,718.3734058735125,43,14
145,North,Ariana,1954,Total land,23171.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,93769793.06,115855000.0,710.0866839623352,18,14
146,North,Ariana,1954,Total land,35798.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,144869494.28,178990000.0,686.740245560745,17,14
147,South,Sidi Bouzid,1954,Total land,35869.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,145156821.34,179345000.0,689.5480087089761,19,14
148,South,Nabeul,1954,Total land,44305.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,179296132.3,221525000.0,668.5364323495951,30,14
149,North,Medenine,1954,Total land,195432.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,790885943.52,977160000.0,677.1838820372454,42,14
150,South,Jendouba,1954,Total land,44836.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,181445014.96,224180000.0,708.6823185775431,40,14
151,South,Nabeul,1954,Total land,48983.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198227343.38,244915000.0,668.9989383654944,50,14
152,North,Jendouba,1954,Total land,49064.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198555139.04,245320000.0,658.1616419562798,33,14
153,Center,Nabeul,1954,Total land,52549.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,212658446.14,262745000.0,700.5227050162105,20,14
154,South,Nabeul,1954,Total land,124628.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,504352068.08,623140000.0,664.5692704414724,3,14
