Year,Attribute,Value
1949,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.120338944
1949,"Crops: Fruits and tree nuts: Quantity (million, $2015)",7719.861641
1949,"Crops: Other crops 2/: Price (index, 2015=1)",0.316015764
1949,"Crops: Other crops 2/: Quantity (million, $2015)",13987.43435
1949,"Farm-related output 3/: Price (index, 2015=1)",0.097524783
1949,"Farm-related output 3/: Quantity (million, $2015)",6067.288546
1949,"Total farm inputs: Price (index, 2015=1)",0.092414657
1949,"Total farm inputs: Quantity (million, $2015)",401332.6028
1949,"Capital: All capital: Price (index, 2015=1)",0.087516211
1949,"Capital: All capital: Quantity (million, $2015)",123835.191
1949,"Capital: Durable equipment: Price (index, 2015=1)",0.098239241
1949,"Capital: Durable equipment: Quantity (million, $2015)",15423.54313
1949,"Capital: Service buildings: Price (index, 2015=1)",0.081818909
1949,"Capital: Service buildings: Quantity (million, $2015)",5109.784217
1949,"Capital: Land: Price (index, 2015=1)",0.091405642
1949,"Capital: Land: Quantity (million, $2015)",94781.65303
1949,"Capital: Inventories: Price (index, 2015=1)",0.069382538
1949,"Capital: Inventories: Quantity (million, $2015)",3469.673628
1949,"Labor: All labor: Price (index, 2015=1)",0.036402311
1949,"Labor: All labor: Quantity (million, $2015)",284264.0271
1949,"Labor: Hired labor: Price (index, 2015=1)",0.037335003
1949,"Labor: Hired labor: Quantity (million, $2015)",75623.31187
1949,"Labor: Self-employed and unpaid family workers: Price (index, 2015=1)",0.035865906
1949,"Labor: Self-employed and unpaid family workers: Quantity (million, $2015)",209794.5345
1949,"Intermediate inputs: All intermediate inputs: Price (index, 2015=1)",0.15080029
1949,"Intermediate inputs: All intermediate inputs: Quantity (million, $2015)",105461.0729
1949,"Intermediate inputs: Feed and seed: Price (index, 2015=1)",0.208726293
1949,"Intermediate inputs: Feed and seed: Quantity (million, $2015)",52396.72612
1949,"Intermediate inputs: Energy: Price (index, 2015=1)",0.053648545
1949,"Intermediate inputs: Energy: Quantity (million, $2015)",22740.33725
1949,"Intermediate inputs: Fertilizer and lime: Price (index, 2015=1)",0.121735403
1949,"Intermediate inputs: Fertilizer and lime: Quantity (million, $2015)",7352.010793
1949,"Intermediate inputs: Pesticides: Price (index, 2015=1)",0.484944109
1949,"Intermediate inputs: Pesticides: Quantity (million, $2015)",286.6309693
1949,"Intermediate inputs: Purchased services: Price (index, 2015=1)",0.093160653
1949,"Intermediate inputs: Purchased services: Quantity (million, $2015)",26740.12706
1949,"Intermediate inputs: Other intermediate inputs: Price (index, 2015=1)",0.093449678
1949,"Intermediate inputs: Other intermediate inputs: Quantity (million, $2015)",2374.243727
1950,"Total output: Price (index, 2015=1)",0.258409081
1950,"Total output: Quantity (million, $2015)",140783.5685
1950,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.226873851
1950,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",73546.745
1950,"Livestock and products: Meat animals: Price (index, 2015=1)",0.174411533
1950,"Livestock and products: Meat animals: Quantity (million, $2015)",47112.88616
1950,"Livestock and products: Dairy: Price (index, 2015=1)",0.219627842
1950,"Livestock and products: Dairy: Quantity (million, $2015)",16933.19921
1950,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.43409447
1950,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",7796.620867
1950,"Crops: All crops: Price (index, 2015=1)",0.291648286
1950,"Crops: All crops: Quantity (million, $2015)",65229.1438
1950,"Crops: Food grains: Price (index, 2015=1)",0.407183611
1950,"Crops: Food grains: Quantity (million, $2015)",5616.910321
1950,"Crops: Feed crops: Price (index, 2015=1)",0.275839052
1950,"Crops: Feed crops: Quantity (million, $2015)",28746.59374
1950,"Crops: Oil crops: Price (index, 2015=1)",0.293342044
1950,"Crops: Oil crops: Quantity (million, $2015)",4361.508933
1950,"Crops: Vegetables and melons: Price (index, 2015=1)",0.162226328
1950,"Crops: Vegetables and melons: Quantity (million, $2015)",8851.830752
1950,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.154486197
1950,"Crops: Fruits and tree nuts: Quantity (million, $2015)",7690.007392
1950,"Crops: Other crops 2/: Price (index, 2015=1)",0.395901033
1950,"Crops: Other crops 2/: Quantity (million, $2015)",10793.22783
1950,"Farm-related output 3/: Price (index, 2015=1)",0.108828538
1950,"Farm-related output 3/: Quantity (million, $2015)",6156.025312
1950,"Total farm inputs: Price (index, 2015=1)",0.090158484
1950,"Total farm inputs: Quantity (million, $2015)",403508.9194
1950,"Capital: All capital: Price (index, 2015=1)",0.092040895
1950,"Capital: All capital: Quantity (million, $2015)",126946.8826
1950,"Capital: Durable equipment: Price (index, 2015=1)",0.106793137
1950,"Capital: Durable equipment: Quantity (million, $2015)",17796.53267
1950,"Capital: Service buildings: Price (index, 2015=1)",0.09464897
1950,"Capital: Service buildings: Quantity (million, $2015)",5279.477031
1950,"Capital: Land: Price (index, 2015=1)",0.096040612
1950,"Capital: Land: Quantity (million, $2015)",95004.81569
1950,"Capital: Inventories: Price (index, 2015=1)",0.046654375
1950,"Capital: Inventories: Quantity (million, $2015)",3423.890479
1950,"Labor: All labor: Price (index, 2015=1)",0.034867782
1950,"Labor: All labor: Quantity (million, $2015)",273492.3012
1950,"Labor: Hired labor: Price (index, 2015=1)",0.035902543
1950,"Labor: Hired labor: Quantity (million, $2015)",78839.7337
1950,"Labor: Self-employed and unpaid family workers: Price (index, 2015=1)",0.034300041
1950,"Labor: Self-employed and unpaid family workers: Quantity (million, $2015)",195496.0599
1950,"Intermediate inputs: All intermediate inputs: Price (index, 2015=1)",0.140961147
1950,"Intermediate inputs: All intermediate inputs: Quantity (million, $2015)",107542.9528
1950,"Intermediate inputs: Feed and seed: Price (index, 2015=1)",0.19098734
1950,"Intermediate inputs: Feed and seed: Quantity (million, $2015)",52256.72073
1950,"Intermediate inputs: Energy: Price (index, 2015=1)",0.054143233
1950,"Intermediate inputs: Energy: Quantity (million, $2015)",23327.12377
1950,"Intermediate inputs: Fertilizer and lime: Price (index, 2015=1)",0.103670406
1950,"Intermediate inputs: Fertilizer and lime: Quantity (million, $2015)",9404.805468
1950,"Intermediate inputs: Pesticides: Price (index, 2015=1)",0.487705407
1950,"Intermediate inputs: Pesticides: Quantity (million, $2015)",367.0248423
1950,"Intermediate inputs: Purchased services: Price (index, 2015=1)",0.093406303
1950,"Intermediate inputs: Purchased services: Quantity (million, $2015)",27387.40912
1950,"Intermediate inputs: Other intermediate inputs: Price (index, 2015=1)",0.098903118
1950,"Intermediate inputs: Other intermediate inputs: Quantity (million, $2015)",2061.040892
1951,"Total output: Price (index, 2015=1)",0.287464225
1951,"Total output: Quantity (million, $2015)",147042.8214
1951,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.267569818
1951,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",76502.63663
1951,"Livestock and products: Meat animals: Price (index, 2015=1)",0.207183139
1951,"Livestock and products: Meat animals: Quantity (million, $2015)",49698.61479
1951,"Livestock and products: Dairy: Price (index, 2015=1)",0.25537479
1951,"Livestock and products: Dairy: Quantity (million, $2015)",16657.71706
1951,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.501907071
1951,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",8359.557467
1951,"Crops: All crops: Price (index, 2015=1)",0.306800092
1951,"Crops: All crops: Quantity (million, $2015)",68819.17377
1951,"Crops: Food grains: Price (index, 2015=1)",0.405329404
1951,"Crops: Food grains: Quantity (million, $2015)",5543.154343
1951,"Crops: Feed crops: Price (index, 2015=1)",0.309361432
1951,"Crops: Feed crops: Quantity (million, $2015)",27773.89689
1951,"Crops: Oil crops: Price (index, 2015=1)",0.317212564
1951,"Crops: Oil crops: Quantity (million, $2015)",4560.187509
1951,"Crops: Vegetables and melons: Price (index, 2015=1)",0.192327909
1951,"Crops: Vegetables and melons: Quantity (million, $2015)",8984.655488
1951,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.137475796
1951,"Crops: Fruits and tree nuts: Quantity (million, $2015)",8416.026898
1951,"Crops: Other crops 2/: Price (index, 2015=1)",0.37923572
1951,"Crops: Other crops 2/: Quantity (million, $2015)",14007.48361
1951,"Farm-related output 3/: Price (index, 2015=1)",0.128495826
1951,"Farm-related output 3/: Quantity (million, $2015)",5338.890873
1951,"Total farm inputs: Price (index, 2015=1)",0.10314805
1951,"Total farm inputs: Quantity (million, $2015)",409794.9563
1951,"Capital: All capital: Price (index, 2015=1)",0.116889595
1951,"Capital: All capital: Quantity (million, $2015)",129469.3467
1951,"Capital: Durable equipment: Price (index, 2015=1)",0.115901185
1951,"Capital: Durable equipment: Quantity (million, $2015)",19861.9365
1951,"Capital: Service buildings: Price (index, 2015=1)",0.125524206
1951,"Capital: Service buildings: Quantity (million, $2015)",5434.73685
1951,"Capital: Land: Price (index, 2015=1)",0.125591148
1951,"Capital: Land: Quantity (million, $2015)",95101.30914
1951,"Capital: Inventories: Price (index, 2015=1)",0.058593437
1951,"Capital: Inventories: Quantity (million, $2015)",3507.626861
1951,"Labor: All labor: Price (index, 2015=1)",0.037044936
1951,"Labor: All labor: Quantity (million, $2015)",262983.5327
1951,"Labor: Hired labor: Price (index, 2015=1)",0.038296051
1951,"Labor: Hired labor: Quantity (million, $2015)",76119.11894
1951,"Labor: Self-employed and unpaid family workers: Price (index, 2015=1)",0.036380373
1951,"Labor: Self-employed and unpaid family workers: Quantity (million, $2015)",187660.1562
1951,"Intermediate inputs: All intermediate inputs: Price (index, 2015=1)",0.154700779
1951,"Intermediate inputs: All intermediate inputs: Quantity (million, $2015)",112434.618
1951,"Intermediate inputs: Feed and seed: Price (index, 2015=1)",0.211799248
1951,"Intermediate inputs: Feed and seed: Quantity (million, $2015)",54682.63714
1951,"Intermediate inputs: Energy: Price (index, 2015=1)",0.055550782
1951,"Intermediate inputs: Energy: Quantity (million, $2015)",24211.74928
1951,"Intermediate inputs: Fertilizer and lime: Price (index, 2015=1)",0.115799779
1951,"Intermediate inputs: Fertilizer and lime: Quantity (million, $2015)",9188.273165
1951,"Intermediate inputs: Pesticides: Price (index, 2015=1)",0.620417545
1951,"Intermediate inputs: Pesticides: Quantity (million, $2015)",314.3044578
1951,"Intermediate inputs: Purchased services: Price (index, 2015=1)",0.100087441
1951,"Intermediate inputs: Purchased services: Quantity (million, $2015)",29794.51381
1951,"Intermediate inputs: Other intermediate inputs: Price (index, 2015=1)",0.1066772
1951,"Intermediate inputs: Other intermediate inputs: Quantity (million, $2015)",2118.009886
1952,"Total output: Price (index, 2015=1)",0.277793614
1952,"Total output: Quantity (million, $2015)",151813.1945
1952,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.241786223
1952,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",78227.13526
1952,"Livestock and products: Meat animals: Price (index, 2015=1)",0.176466114
1952,"Livestock and products: Meat animals: Quantity (million, $2015)",51664.29626
1952,"Livestock and products: Dairy: Price (index, 2015=1)",0.271573178
1952,"Livestock and products: Dairy: Quantity (million, $2015)",16816.808
1952,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.447890438
1952,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",8522.396715
1952,"Crops: All crops: Price (index, 2015=1)",0.315423661
1952,"Crops: All crops: Quantity (million, $2015)",71631.47854
1952,"Crops: Food grains: Price (index, 2015=1)",0.410455461
1952,"Crops: Food grains: Quantity (million, $2015)",7111.899149
1952,"Crops: Feed crops: Price (index, 2015=1)",0.321239712
1952,"Crops: Feed crops: Quantity (million, $2015)",28696.36753
1952,"Crops: Oil crops: Price (index, 2015=1)",0.321670459
1952,"Crops: Oil crops: Quantity (million, $2015)",4560.549813
1952,"Crops: Vegetables and melons: Price (index, 2015=1)",0.236621236
1952,"Crops: Vegetables and melons: Quantity (million, $2015)",8549.528479
1952,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.131393084
1952,"Crops: Fruits and tree nuts: Quantity (million, $2015)",8348.993498
1952,"Crops: Other crops 2/: Price (index, 2015=1)",0.365190963
1952,"Crops: Other crops 2/: Quantity (million, $2015)",14049.87769
1952,"Farm-related output 3/: Price (index, 2015=1)",0.118373671
1952,"Farm-related output 3/: Quantity (million, $2015)",5611.291551
1952,"Total farm inputs: Price (index, 2015=1)",0.102675451
1952,"Total farm inputs: Quantity (million, $2015)",410738.2591
1952,"Capital: All capital: Price (index, 2015=1)",0.108028049
1952,"Capital: All capital: Quantity (million, $2015)",131460.6213
1952,"Capital: Durable equipment: Price (index, 2015=1)",0.11758068
1952,"Capital: Durable equipment: Quantity (million, $2015)",21590.37529
1952,"Capital: Service buildings: Price (index, 2015=1)",0.100247014
1952,"Capital: Service buildings: Quantity (million, $2015)",5577.06589
1952,"Capital: Land: Price (index, 2015=1)",0.113310477
1952,"Capital: Land: Quantity (million, $2015)",95044.77544
1952,"Capital: Inventories: Price (index, 2015=1)",0.090660871
1952,"Capital: Inventories: Quantity (million, $2015)",3685.938198
1952,"Labor: All labor: Price (index, 2015=1)",0.037359745
1952,"Labor: All labor: Quantity (million, $2015)",257106.4325
1952,"Labor: Hired labor: Price (index, 2015=1)",0.038729777
1952,"Labor: Hired labor: Quantity (million, $2015)",74374.94275
1952,"Labor: Self-employed and unpaid family workers: Price (index, 2015=1)",0.03664563
1952,"Labor: Self-employed and unpaid family workers: Quantity (million, $2015)",183511.8085
1952,"Intermediate inputs: All intermediate inputs: Price (index, 2015=1)",0.162510267
1952,"Intermediate inputs: All intermediate inputs: Quantity (million, $2015)",113013.6023
1952,"Intermediate inputs: Feed and seed: Price (index, 2015=1)",0.224337958
1952,"Intermediate inputs: Feed and seed: Quantity (million, $2015)",54172.17324
1952,"Intermediate inputs: Energy: Price (index, 2015=1)",0.054955883
1952,"Intermediate inputs: Energy: Quantity (million, $2015)",25274.74648
1952,"Intermediate inputs: Fertilizer and lime: Price (index, 2015=1)",0.123871701
1952,"Intermediate inputs: Fertilizer and lime: Quantity (million, $2015)",9558.276768
1952,"Intermediate inputs: Pesticides: Price (index, 2015=1)",0.574687283
1952,"Intermediate inputs: Pesticides: Quantity (million, $2015)",330.614589
1952,"Intermediate inputs: Purchased services: Price (index, 2015=1)",0.104998035
1952,"Intermediate inputs: Purchased services: Quantity (million, $2015)",30597.86636
1952,"Intermediate inputs: Other intermediate inputs: Price (index, 2015=1)",0.108277478
1952,"Intermediate inputs: Other intermediate inputs: Quantity (million, $2015)",2191.445119
1953,"Total output: Price (index, 2015=1)",0.253382504
1953,"Total output: Quantity (million, $2015)",153854.2614
1953,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.216715506
1953,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",80231.55903
1953,"Livestock and products: Meat animals: Price (index, 2015=1)",0.147131096
1953,"Livestock and products: Meat animals: Quantity (million, $2015)",51922.60935
1953,"Livestock and products: Dairy: Price (index, 2015=1)",0.243571766
1953,"Livestock and products: Dairy: Quantity (million, $2015)",17925.10713
1953,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.464363515
1953,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",8772.883453
1953,"Crops: All crops: Price (index, 2015=1)",0.291452098
1953,"Crops: All crops: Quantity (million, $2015)",71893.86074
1953,"Crops: Food grains: Price (index, 2015=1)",0.419521521
1953,"Crops: Food grains: Quantity (million, $2015)",6530.186126
1953,"Crops: Feed crops: Price (index, 2015=1)",0.286991415
1953,"Crops: Feed crops: Quantity (million, $2015)",28682.72331
1953,"Crops: Oil crops: Price (index, 2015=1)",0.294737815
1953,"Crops: Oil crops: Quantity (million, $2015)",4603.351366
1953,"Crops: Vegetables and melons: Price (index, 2015=1)",0.182186359
1953,"Crops: Vegetables and melons: Quantity (million, $2015)",9122.527103
1953,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.14051917
1953,"Crops: Fruits and tree nuts: Quantity (million, $2015)",8518.410712
1953,"Crops: Other crops 2/: Price (index, 2015=1)",0.35252666
1953,"Crops: Other crops 2/: Quantity (million, $2015)",14459.47056
1953,"Farm-related output 3/: Price (index, 2015=1)",0.114030543
1953,"Farm-related output 3/: Quantity (million, $2015)",5638.300594
1953,"Total farm inputs: Price (index, 2015=1)",0.095226606
1953,"Total farm inputs: Quantity (million, $2015)",409381.1544
1953,"Capital: All capital: Price (index, 2015=1)",0.097006273
1953,"Capital: All capital: Quantity (million, $2015)",132580.1851
1953,"Capital: Durable equipment: Price (index, 2015=1)",0.121861193
1953,"Capital: Durable equipment: Quantity (million, $2015)",22540.34124
1953,"Capital: Service buildings: Price (index, 2015=1)",0.090030418
1953,"Capital: Service buildings: Quantity (million, $2015)",5720.3603
1953,"Capital: Land: Price (index, 2015=1)",0.097107954
1953,"Capital: Land: Quantity (million, $2015)",94820.64774
1953,"Capital: Inventories: Price (index, 2015=1)",0.10293682
1953,"Capital: Inventories: Quantity (million, $2015)",3803.024216
1953,"Labor: All labor: Price (index, 2015=1)",0.036720435
1953,"Labor: All labor: Quantity (million, $2015)",246426.5567
1953,"Labor: Hired labor: Price (index, 2015=1)",0.03819317
1953,"Labor: Hired labor: Quantity (million, $2015)",72250.0152
1953,"Labor: Self-employed and unpaid family workers: Price (index, 2015=1)",0.035966918
1953,"Labor: Self-employed and unpaid family workers: Quantity (million, $2015)",174867.1732
1953,"Intermediate inputs: All intermediate inputs: Price (index, 2015=1)",0.149832157
1953,"Intermediate inputs: All intermediate inputs: Quantity (million, $2015)",113954.0296
1953,"Intermediate inputs: Feed and seed: Price (index, 2015=1)",0.194351589
1953,"Intermediate inputs: Feed and seed: Quantity (million, $2015)",55677.35102
1953,"Intermediate inputs: Energy: Price (index, 2015=1)",0.056364643
1953,"Intermediate inputs: Energy: Quantity (million, $2015)",25867.21617
1953,"Intermediate inputs: Fertilizer and lime: Price (index, 2015=1)",0.131692071
1953,"Intermediate inputs: Fertilizer and lime: Quantity (million, $2015)",8945.109551
1953,"Intermediate inputs: Pesticides: Price (index, 2015=1)",0.382414564
1953,"Intermediate inputs: Pesticides: Quantity (million, $2015)",405.3192917
1953,"Intermediate inputs: Purchased services: Price (index, 2015=1)",0.11017692
1953,"Intermediate inputs: Purchased services: Quantity (million, $2015)",29302.83512
1953,"Intermediate inputs: Other intermediate inputs: Price (index, 2015=1)",0.114930651
1953,"Intermediate inputs: Other intermediate inputs: Quantity (million, $2015)",2031.693784
1954,"Total output: Price (index, 2015=1)",0.245149101
1954,"Total output: Quantity (million, $2015)",153763.3833
1954,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.199777481
1954,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",82502.80612
1954,"Livestock and products: Meat animals: Price (index, 2015=1)",0.146493761
1954,"Livestock and products: Meat animals: Quantity (million, $2015)",53970.21237
1954,"Livestock and products: Dairy: Price (index, 2015=1)",0.22390909
1954,"Livestock and products: Dairy: Quantity (million, $2015)",18373.62651
1954,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.364348097
1954,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",9249.596823
1954,"Crops: All crops: Price (index, 2015=1)",0.292784926
1954,"Crops: All crops: Quantity (million, $2015)",70358.5793
1954,"Crops: Food grains: Price (index, 2015=1)",0.423362197
1954,"Crops: Food grains: Quantity (million, $2015)",5733.307868
1954,"Crops: Feed crops: Price (index, 2015=1)",0.292662055
1954,"Crops: Feed crops: Quantity (million, $2015)",29692.05279
1954,"Crops: Oil crops: Price (index, 2015=1)",0.304802278
1954,"Crops: Oil crops: Quantity (million, $2015)",4841.01469
1954,"Crops: Vegetables and melons: Price (index, 2015=1)",0.17494892
1954,"Crops: Vegetables and melons: Quantity (million, $2015)",8848.296961
1954,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.137176319
1954,"Crops: Fruits and tree nuts: Quantity (million, $2015)",8893.663321
1954,"Crops: Other crops 2/: Price (index, 2015=1)",0.350725654
1954,"Crops: Other crops 2/: Quantity (million, $2015)",13233.80274
1954,"Farm-related output 3/: Price (index, 2015=1)",0.117094482
1954,"Farm-related output 3/: Quantity (million, $2015)",5233.560005
1954,"Total farm inputs: Price (index, 2015=1)",0.094462718
1954,"Total farm inputs: Quantity (million, $2015)",399045.8476
1954,"Capital: All capital: Price (index, 2015=1)",0.089402109
1954,"Capital: All capital: Quantity (million, $2015)",133742.1125
1954,"Capital: Durable equipment: Price (index, 2015=1)",0.127251619
1954,"Capital: Durable equipment: Quantity (million, $2015)",23687.9953
1954,"Capital: Service buildings: Price (index, 2015=1)",0.099188109
1954,"Capital: Service buildings: Quantity (million, $2015)",5845.697072
1954,"Capital: Land: Price (index, 2015=1)",0.085272856
1954,"Capital: Land: Quantity (million, $2015)",94388.02033
1954,"Capital: Inventories: Price (index, 2015=1)",0.084303429
1954,"Capital: Inventories: Quantity (million, $2015)",3723.82838
1954,"Labor: All labor: Price (index, 2015=1)",0.03679067
1954,"Labor: All labor: Quantity (million, $2015)",241492.0329
1954,"Labor: Hired labor: Price (index, 2015=1)",0.038482554
1954,"Labor: Hired labor: Quantity (million, $2015)",68118.61767
1954,"Labor: Self-employed and unpaid family workers: Price (index, 2015=1)",0.035948754
1954,"Labor: Self-employed and unpaid family workers: Quantity (million, $2015)",174227.8835
1954,"Intermediate inputs: All intermediate inputs: Price (index, 2015=1)",0.156020764
1954,"Intermediate inputs: All intermediate inputs: Quantity (million, $2015)",108020.7152
1954,"Intermediate inputs: Feed and seed: Price (index, 2015=1)",0.205421945
1954,"Intermediate inputs: Feed and seed: Quantity (million, $2015)",51549.86732
1954,"Intermediate inputs: Energy: Price (index, 2015=1)",0.057743211
1954,"Intermediate inputs: Energy: Quantity (million, $2015)",25786.58998
1954,"Intermediate inputs: Fertilizer and lime: Price (index, 2015=1)",0.133077125
1954,"Intermediate inputs: Fertilizer and lime: Quantity (million, $2015)",9084.957296
1954,"Intermediate inputs: Pesticides: Price (index, 2015=1)",0.370143029
1954,"Intermediate inputs: Pesticides: Quantity (million, $2015)",451.1769422
1954,"Intermediate inputs: Purchased services: Price (index, 2015=1)",0.111600991
1954,"Intermediate inputs: Purchased services: Quantity (million, $2015)",28390.46467
1954,"Intermediate inputs: Other intermediate inputs: Price (index, 2015=1)",0.119801494
1954,"Intermediate inputs: Other intermediate inputs: Quantity (million, $2015)",1924.817356
1955,"Total output: Price (index, 2015=1)",0.232133872
1955,"Total output: Quantity (million, $2015)",157983.5674
1955,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.18900672
